那是我的台词！	That's MY line!
那是我说过的最愚蠢的话了。	That's the stupidest thing I've ever said.
我就算說上三天三夜，恐怕也不能把一切解釋清楚。	It would take forever for me to explain everything.
雖然他道歉了，但我還是很生氣。	Even though he apologized, I'm still furious.
你们除了信任对方，没什么要做的了。	All you can do is trust one another.
外国人很有意思。	Foreign people intrigue me.
你不能指望我一直考虑周到！	You can't expect me to always think of everything!
别指望别人来为你考虑！	Don't expect others to think for you!
"山洞裡發生了什麼事?" 我很好奇。"我不知道。"	"What's going on in the cave? I'm curious." "I have no idea."
如果你發現有錯的話請幫忙改正。	If you see a mistake then please correct it.
就算你明天起床，發現整個宇宙消失了，還有一門科學是可以繼續研究的 ﹣ 那就是數學了。	Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.
我必須承認我打呼。	I must admit that I snore.
「你累的話怎麼不去睡覺？」「因為我現在去睡的話，就會太早醒過來了。」	"If you're tired, why don't you go to sleep?" "Because if I go to sleep now I will wake up too early."
當你試圖去證明某件事, 有助於了解它是真的。	When you're trying to prove something, it helps to know it's true.
任何事都可以被誤解。	Anything that can be misunderstood will be.
任何意見都是事實與謬誤的混合體。	Every opinion is a mixture of truth and mistakes.
儘管莊不斷發誓她不變的愛情，斯賓塞仍然害怕有一天她會不愛他了。	Despite Trang's constant affirmations of love, Spenser is still afraid someday she will fall out of love with him.
也許你說得對。我一直都很自私。	Perhaps you are right, I have been selfish.
我裝了個心臟起搏器。	I've got a pacemaker.
你的二十塊在哪裡? 我給你五塊錢找到它。	Where is your twenty?  I'll give you five bucks for it.
這個世界上有些事物根本不能用言語形容。	There are things in this world which simply cannot be expressed in the form of words.
放下你的手！	Put your hands down!
最後笑的人，才是笑得最得意的人。	He laughs best who laughs last.
我正要出門的時候，電話就響起了。	I was about to go out when the phone rang.
雄辯如銀，沉默如金。	Speech is silver, but silence is golden.
有百分之五十二的英國女性喜歡巧克力勝於性。	Fifty-two per cent of British women prefer chocolate to sex.
我不喜歡這番話。	I don't like these remarks.
如果你告訴他們富蘭克林是第一個這麼說的, 人們會更樂意接受你的想法。	People will accept your idea much more readily if you tell them Benjamin Franklin said it first.
早起的鸟儿有虫吃。	The early bird catches the worm.
生活中有高低起伏。	In life there are ups and downs.
爱都是嫉妒的。	There's no love without jealousy.
沒有骯髒的愛情, 也沒有美麗的監獄。	No love is foul nor prison fair.
我們很相似。	We are cut from the same cloth.
隔牆有耳。	The walls have ears.
我緊張得說不出話來了。	I've got a frog in my throat.
別聽他的, 他在說廢話。	Don't listen to him, he's talking nonsense.
對不起, 你要聯絡的人沒空。	We are sorry, the person you are trying to contact is not available.
他们吵架了。	They quarreled.
這是你零錢。	Here is your change.
對不起, 我沒有零錢。	I'm sorry, I don't have change.
心有餘而力不足。	The spirit is willing, but the flesh is weak.
好象火车晚点了。	It seems to me that the train is late.
"誰可以來幫我一下?" "我幫你。"	"Can somebody help me?" "I will."
你對我的個性還不太清楚。	There are a lot of things you don't know about my personality.
這首歌太感人了，使我不禁流下了眼淚。	This song is so moving that it brings tears to my eyes.
某些失明者会产生一个弥补性的能力，这个能力让他们察觉到他们与离他们很近的物体的距离。	Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.
對他來說，「肚子餓」是個抽象的概念，因為他從來就沒有餓過。	To him, hunger was an abstract concept; he always had enough to eat.
我已婚，有两个孩子。	I am married and have two children.
任何簡單到可以被了解的宇宙便太過簡單而無法產生可以了解它的心靈。	Any universe simple enough to be understood is too simple to produce a mind able to understand it.
我們可以回顧過去，但不能改變過去；我們可以改變未來，但不能預知未來。	The past can only be known, not changed. The future can only be changed, not known.
你會說義大利語嗎？	Do you speak Italian?
在我有生之年，共產主義不可能達到。	Communism will never be reached in my lifetime.
你的球拍跟我的一樣。	You have the same racket as I have.
我认为你考虑久了就会不一样了。	I suppose it's different when you think about it over the long term.
瑪麗亞有一頭長髮。	Maria has long hair.
你為什麼知道這麼多的日本歷史?	How come you know so much about Japanese history?
請你幫我個忙好嗎?	Could you do me a favour please?
以眼還眼,，以牙還牙。	An eye for an eye, a tooth for a tooth.
你會記帳嗎?	Can you do bookkeeping?
你應該知道不要問小姐的年齡。	You should know better than to ask a lady her age.
我感覺你將來會成為一名優秀的律師。	I have a feeling you'll be a very good lawyer.
你看起來很累。你應該休息一兩個小時。	You look tired. You ought to rest for an hour or two.
报纸在哪儿？	Where is the newspaper?
我認為你應該跟她道歉。	I think that you ought to apologize to her.
你对她是不是一见钟情？	Did you fall in love with her at first sight?
你告訴她你已經在三天前完成這個工作了。	You told her that you had finished the work three days before.
你知道她有多麼愛你嗎?	Are you aware of how much she loves you?
你要小心別惹他生氣。	You must be careful not to make him angry.
你別小看了他。	You are selling him short.
你跟隨他的指示做就行了。	All you have to do is follow his advice.
你應該幫他工作的。	You should have helped him with his work.
你應該多注意他說的話。	You should pay more attention to what he says.
你應該多注意他的警告。	You should pay more attention to his warnings.
你跟他在你這個年紀時一樣努力工作。	You work as hard as he did at your age.
你应该努力工作。	You should work hard.
你週日通常做什麼?	What do you usually do on Sundays?
你知道怎麼煮肉嗎?	Do you know how to cook meat?
在你兩歲時, 你可以數到十。	You could count to ten when you were two.
你工作得太辛苦了。放輕鬆一下。	You are working too hard. Take it easy for a while.
我理所當然認為你會站在我這邊。	I took it for granted that you were on my side.
你週日不上學, 對嗎?	You don't go to school on Sunday, do you?
你還不如立刻退出這個俱樂部。	You may as well withdraw from the club right away.
你遲早會學會怎麼做。	You'll learn how to do it sooner or later.
你可以拿大的盒子或是小的盒子。	You may take either the big box or the small one.
你可能已經看過這本書。	You may have read this book already.
你太依賴別人了。	You depend too much on others.
你犯了跟上次相同的錯誤。	You made the same mistake as last time.
你應該請求你的老師允許。	You ought to ask for your teacher's permission.
你必須在中午以前完成這個工作。	You have to get this work finished by noon.
你關心政治嗎？	Are you concerned with politics?
你会发现它用几页纸进一步作了说明。	You will find it stated a few pages further on.
你很快就會習慣在公開場合講話了。	You will soon get used to speaking in public.
你該買一輛新車了。	It's time for you to buy a new car.
我想你應該節食了。	I think you'd better go on a diet.
你最好小心不要吃過量。	You had better be careful not to overeat.
你應該知道要為考試作準備。	You should have known better than to take an examination without preparing for it.
你自己做回家作業的嗎?	Did you do your homework by yourself?
你應該學習控制自己的情緒。	You should learn to restrain yourself.
你必須分些零工給其他人做。	You must share your jobs with others.
你要為自己做過的事情負責。	You should be responsible for your actions.
你必須控制自己。	You must control yourself.
你應該準時上班。	You ought to get to work on time.
你應該偶爾照顧孩子。	You should look after the children from time to time.
我希望你告訴我真相了。	I wish you had told me the truth.
你對我說了謊, 沒有嗎?	You lied to me, didn't you?
你應該到我們的派對的。	You ought to have come to our party.
你最好隨身帶把傘。	You had better take an umbrella with you.
你昨天應該來看我的。	You ought to have come to see me yesterday.
你昨天沒來學校, 是嗎?	You didn't come to school yesterday, did you?
你聽說了昨天的火災嗎?	Did you hear about the fire yesterday?
你今天看起來很高興。	You look happy today.
你今天有点发烧，是吧？	You have a little fever today, don't you?
你是個高中生嗎?	Are you a senior high school student?
除非你想去, 否則你不必去這個派對。	You don't have to go to the party unless you want to.
你快樂嗎？	Are you happy?
你可以隨你高興的用你的錢。	You are free to do as you please with your money.
你應該學著閉上你的嘴。	You've got to learn to hold your tongue.
