我們試試看！	我們 試試看 ！
我该去睡觉了。	我 该 去 睡觉 了 。
你在干什麼啊？	你 在 干什麼 啊 ？
這是什麼啊？	這 是 什麼 啊 ？
今天是6月18号，也是Muiriel的生日！	今天 是 6 月 18 号 ， 也是 Muiriel的生日 ！
生日快乐Muiriel!	生日 快乐 Muiriel !
Muiriel现在20岁了。	Muiriel现在 20 岁了 。
密码是"Muiriel"。	密码 是 " Muiriel " 。
我很快就會回來了。	我 很快 就 會 回來 了 。
我不知道。	我 不知道 。
我不知道應該說什麼才好。	我 不知道 應該說 什麼 才 好 。
這個永遠完不了了。	這個 永遠 完 不了 了 。
我只是不知道應該說什麼而已……	我 只是 不知道 應該說 什麼 而已 … …
那是一隻有惡意的兔子。	那 是 一隻 有惡意 的 兔子 。
我以前在山里。	我 以前 在 山里 。
剛才我的麥克風沒起作用，不知道為什麼。	剛才 我的 麥克風 沒 起作用 ， 不知道 為什麼 。
到了最後，大家一定要靠自己學習。	到了 最後 ， 大家 一定 要 靠 自己 學習 。
选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。	选择 什么 是 “ 对 ” 或 “ 错 ” 是 一项 艰难 的 任务 ， 我们 却 必须 要 完成 它 。
這樣做的話什麼都不會改變的。	這樣 做 的話 什麼 都不 會 改變 的 。
這個要三十歐元。	這個 要 三十 歐 元 。
我一天賺一百歐元。	我 一天 賺 一百 歐 元 。
也许我会马上放弃然后去睡一觉。	也许 我 会 马上 放弃 然后 去 睡一觉 。
那是不會發生的。	那 是 不會 發生 的 。
我会尽量不打扰你复习。	我 会 尽量 不打 扰 你 复习 。
不要擔心。	不要 擔心 。
我很想你。	我 很想 你 。
我明天回來的時候會跟他們聯絡。	我 明天 回來 的時候 會 跟 他們 聯絡 。
我一直都比較喜歡神秘一點的人物。	我 一直 都比 較 喜歡 神秘 一點 的 人物 。
你應該去睡覺了吧。	你 應該 去 睡覺 了吧 。
我要走了。	我 要 走了 。
我不能活那種命。	我 不能 活 那種 命 。
可惜这是真的。	可惜 这 是 真的 。
不，我不是！你才是！	不 ， 我 不是 ！ 你 才 是 ！
那是我該說的話!	那 是 我 該 說的 話 !
他在踢我!	他 在 踢 我 !
你肯定吗？	你 肯定 吗 ？
那就表示有問題...	那 就 表示 有問題 . . .
哦！有一隻蝴蝶！	哦 ！ 有 一隻 蝴蝶 ！
趕快!	趕快 !
如果我可以像那樣的話...	如果 我 可以 像 那樣 的話 . . .
你是在跟我開玩笑吧？！	你是 在 跟 我 開玩笑 吧 ？ ！
我長大的時候想要當國王。	我 長大 的時候 想要 當 國王 。
我好胖哦。	我 好 胖 哦 。
那又怎樣?	那又 怎樣 ?
我要把他射下來。	我 要 把 他 射 下來 。
那是因為妳是女生。	那 是 因為 妳 是 女生 。
我會不高興，可是不會到要自殺的地步。	我 會 不高興 ， 可是 不會 到 要 自殺 的 地步 。
以前讀高中的時候﹐我每天早上六點鐘就起床了。	以前 讀 高中 的時候 ﹐ 我 每天 早上 六點 鐘 就 起床 了 。
你問這個幹什麼?	你 問這 個 幹 什麼 ?
你待了多久?	你 待 了 多久 ?
我不知道它是从哪里来的。	我 不知道 它 是 从 哪里 来的 。
哪裡有問題?	哪裡 有問題 ?
不要再把我当成“正常” 人!	不要 再把 我 当成 “ 正常 ” 人 !
所有的发明都是真的。	所有 的 发明 都 是 真的 。
感到惊讶、感到惊奇就是明白的开始。	感到 惊讶 、 感到 惊奇 就是 明白 的 开始 。
宇宙毫无疑问是无限的。	宇宙 毫无疑问 是 无限 的 。
要变得完美，她缺少的就是一个缺点。	要 变得 完美 ， 她 缺少 的 就是 一个 缺点 。
